1,1,1,2.912,23,23,0,0,3.815,0,0,0,1
2,1,2,3.328,60,23,1.608695652,37,2.644,37,1.608695652,0,1
3,1,3,2.87,25,23,0.086956522,2,3.245,2,0.086956522,0,1
4,1,4,2.372,25,23,0.086956522,2,3.543,2,0.086956522,0,1
5,1,5,2.613,55,23,1.391304348,32,3.359,32,1.391304348,0,1
6,1,6,2.367,50,23,1.173913043,27,3.003,27,1.173913043,0,1
7,1,7,3.421,25,23,0.086956522,2,2.307,2,0.086956522,0,1
8,1,8,2.71,25,23,0.086956522,2,2.106,2,0.086956522,0,1
9,1,9,2.798,30,29,0.034482759,1,2.778,1,0.034482759,0,1
10,1,10,0,45,29,0.551724138,16,4.945,16,0.551724138,0,1
11,1,11,3.775,30,29,0.034482759,1,2.564,1,0.034482759,0,1
12,1,12,2.668,50,29,0.724137931,21,7.03,21,0.724137931,0,1
13,1,13,2.783,60,29,1.068965517,31,2.911,31,1.068965517,0,1
14,1,14,2.789,30,29,0.034482759,1,2.078,1,0.034482759,0,1
15,1,15,4.231,50,29,0.724137931,21,3.828,21,0.724137931,0,1
16,1,16,3.267,25,29,0.137931034,-4,2.546,4,0.137931034,0,1
17,1,17,2.895,40,37,0.081081081,3,2.425,3,0.081081081,0,1
18,1,18,2.801,28,37,0.243243243,-9,2.172,9,0.243243243,0,1
19,1,19,2.711,60,37,0.621621622,23,6.746,23,0.621621622,0,1
20,1,20,2.945,30,37,0.189189189,-7,2.774,7,0.189189189,0,1
21,1,21,3.265,30,37,0.189189189,-7,4.818,7,0.189189189,0,1
22,1,22,3.364,40,37,0.081081081,3,4.675,3,0.081081081,0,1
23,1,23,2.811,60,37,0.621621622,23,3.688,23,0.621621622,0,1
24,1,24,2.726,45,37,0.216216216,8,3.334,8,0.216216216,0,1
25,1,25,4.872,50,51,0.019607843,-1,4.64,1,0.019607843,0,1
26,1,26,9.308,50,51,0.019607843,-1,5.57,1,0.019607843,0,1
27,1,27,2.964,30,51,0.411764706,-21,8.549,21,0.411764706,0,1
28,1,28,2.744,55,51,0.078431373,4,3.513,4,0.078431373,0,1
29,1,29,3.682,30,51,0.411764706,-21,3.626,21,0.411764706,0,1
30,1,30,2.711,60,51,0.176470588,9,2.213,9,0.176470588,0,1
31,1,31,2.772,85,51,0.666666667,34,3.272,34,0.666666667,0,1
32,1,32,2.8,45,51,0.117647059,-6,10.074,6,0.117647059,0,1
